,age,height_cm,weight_kgs,positions,overall_rating,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_rating,club_position,national_team,national_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,interceptions,vision,penalties,marking,standing_tackle,sliding_tackle,tags
44,21,178.5,67.1,"RW,LW",84,46000000.0,170000.0,Left,3,5,4,High/ Low,Lean,103500000.0,86.0,LW,1,84.0,81,78,43,79,76,91,82,64,70,83,94,93,90,82,85,83,59,76,52,76,36,84,75,42,30,33,3.0
45,34,170.18,68.0,"CM,LM",85,18500000.0,19000.0,Right,4,4,4,High/ Medium,Normal,24100000.0,69.0,LAM,0,,77,69,54,90,75,88,80,70,84,91,70,66,79,84,84,67,47,58,58,70,65,93,71,68,57,56,3.0
46,37,195.58,94.8,ST,85,14000000.0,15000.0,Right,5,4,5,Medium/ Low,Normal,21000000.0,71.0,RS,0,,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,20,79,89,28,37,24,5.0
47,27,181.0,67.1,CM,83,30000000.0,140000.0,Right,2,3,3,Medium/ Medium,Lean,57800000.0,83.0,CM,1,83.0,75,57,56,89,71,82,75,76,87,85,70,61,77,82,73,71,58,79,66,62,76,87,84,62,77,70,1.0
48,29,172.72,63.0,"RM,RW",83,26000000.0,44000.0,Right,2,4,4,High/ Medium,Lean,49400000.0,76.0,RM,0,,80,80,45,82,74,82,74,60,71,82,90,89,93,80,88,79,69,84,58,77,52,77,75,55,40,40,1.0
49,23,175.26,74.8,"LM,RM,CAM,LW",83,34000000.0,85000.0,Right,2,4,4,High/ Medium,Normal,58700000.0,85.0,RM,1,85.0,74,81,46,79,83,87,64,62,68,83,92,90,86,81,88,85,64,68,68,81,38,74,68,45,48,45,3.0
50,24,175.26,78.0,CM,83,35000000.0,165000.0,Right,3,4,4,High/ High,Normal,,83.0,SUB,0,,73,62,42,87,76,88,78,68,82,89,84,74,85,74,85,79,63,82,65,75,76,88,59,69,74,63,3.0
51,26,187.96,83.0,"CDM,CM",83,27000000.0,35000.0,Right,3,4,3,Medium/ Medium,Normal,58700000.0,80.0,CDM,1,82.0,68,52,73,81,50,78,79,50,84,80,62,67,51,75,51,70,69,85,92,59,81,81,60,82,83,67,1.0
52,29,190.5,86.2,CB,83,22500000.0,22000.0,Right,3,3,2,Medium/ High,Normal,46700000.0,81.0,RCB,0,,45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,81,50,47,85,85,79,1.0
53,25,181.0,73.0,LM,83,33000000.0,20000.0,Right,3,4,4,High/ Medium,Lean,73400000.0,85.0,LM,1,64.0,78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,18,71,74,58,39,26,1.0
54,27,172.72,69.9,"RW,RM",83,27000000.0,205000.0,Right,2,4,4,High/ High,Normal,55400000.0,86.0,RW,0,,83,72,56,83,58,82,82,71,75,82,86,82,86,85,84,80,68,90,57,76,62,83,56,62,62,61,2.0
55,27,175.26,72.1,"LM,ST,RM",83,28000000.0,28000.0,Right,2,4,5,High/ Low,Lean,58800000.0,80.0,LM,1,81.0,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,33,81,74,36,30,32,4.0
56,24,187.96,78.9,"CM,CAM,CDM",83,34000000.0,85000.0,Right,3,4,3,High/ High,Lean,58700000.0,85.0,SUB,1,85.0,75,73,80,84,68,81,76,75,79,83,84,79,76,84,70,78,74,86,72,80,82,82,60,72,76,74,1.0
57,23,193.04,79.8,"CM,CDM",83,33000000.0,91000.0,Left,2,3,3,High/ Medium,Lean,63500000.0,84.0,RES,0,,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,80,80,67,70,81,75,0.0
58,24,187.96,78.0,CB,83,31000000.0,92000.0,Left,2,3,2,Medium/ High,Normal,58900000.0,80.0,LCB,0,,36,30,77,72,28,65,36,24,71,70,63,69,60,78,53,64,78,75,81,46,86,45,34,88,86,82,0.0
59,24,182.88,73.9,RB,83,29500000.0,105000.0,Right,2,3,4,High/ Medium,Lean,54600000.0,85.0,RB,1,82.0,86,58,64,79,62,85,83,69,75,84,91,91,78,83,74,80,73,90,66,66,77,74,46,79,79,79,2.0
60,25,190.5,79.8,CAM,83,34000000.0,27000.0,Left,2,4,4,High/ Low,Normal,77400000.0,71.0,CAM,0,,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,58,81,71,55,62,42,1.0
61,22,178.5,71.2,"LM,RM,LW,RW",83,34500000.0,85000.0,Right,2,3,5,Medium/ Low,Lean,59500000.0,85.0,LM,0,,81,77,52,77,77,88,84,70,63,83,95,93,88,82,84,78,75,76,63,73,23,75,70,29,17,15,3.0
62,23,170.18,62.1,"LM,CAM,RM",83,35500000.0,64000.0,Left,3,2,4,Medium/ Medium,Lean,79900000.0,84.0,LM,1,84.0,83,75,54,84,76,85,85,81,75,86,86,84,87,79,86,79,71,79,63,78,66,84,68,55,59,63,0.0
63,23,195.58,97.1,CB,82,25000000.0,61000.0,Right,2,4,2,Medium/ Medium,Stocky,44400000.0,80.0,RCB,1,85.0,35,20,80,74,24,55,30,27,69,64,64,77,48,81,44,44,72,63,93,25,80,61,38,80,87,84,2.0
64,25,170.18,67.1,"RM,LM,ST",82,28000000.0,61000.0,Left,2,4,4,High/ Medium,Normal,,82.0,RM,0,,80,74,40,80,75,84,79,77,76,84,85,86,90,79,82,78,50,79,45,82,38,75,70,63,29,29,1.0
65,23,185.42,81.2,CB,82,26000000.0,135000.0,Left,1,4,2,Medium/ High,Lean,58500000.0,86.0,SUB,0,,36,23,80,78,24,60,25,27,69,76,72,73,62,81,60,58,85,73,80,35,82,60,43,85,84,80,0.0
67,23,175.26,69.9,"RW,LW",82,29500000.0,24000.0,Right,3,4,4,High/ Low,Lean,43500000.0,76.0,RW,1,77.0,75,77,58,74,75,84,72,65,67,81,94,93,91,82,76,76,67,80,59,76,45,75,64,42,35,29,2.0
68,22,172.72,73.9,RW,82,31500000.0,140000.0,Left,2,4,4,Medium/ Medium,Normal,70900000.0,86.0,SUB,0,,79,75,57,80,71,85,77,81,73,85,87,82,92,79,84,85,58,74,64,85,26,81,68,21,28,17,1.0
69,23,167.64,64.0,"CDM,CM",82,25000000.0,98000.0,Right,2,3,3,Medium/ High,Normal,49400000.0,82.0,RDM,1,81.0,74,50,59,83,65,78,70,78,77,81,81,74,85,79,93,78,52,85,66,74,86,74,48,84,84,77,0.0
70,22,178.5,68.0,"LM,ST,RM,LW",82,29000000.0,36000.0,Right,1,4,4,High/ Medium,Normal,63100000.0,80.0,SUB,1,82.0,78,75,60,77,71,86,76,70,69,81,89,90,85,80,78,81,65,75,62,77,50,77,69,24,34,30,1.0
71,22,175.26,69.9,"CM,CAM,CDM",82,30000000.0,83000.0,Left,1,3,4,High/ Medium,Lean,,80.0,LCM,1,82.0,75,77,59,82,69,84,82,72,84,84,77,79,82,80,81,80,64,80,69,76,65,84,60,61,67,67,0.0
72,22,187.96,69.9,"CM,CDM,CAM",82,32000000.0,70000.0,Left,1,4,4,Medium/ Medium,Lean,60800000.0,82.0,LCM,0,,72,79,67,80,67,83,75,59,80,83,69,67,73,79,66,75,46,75,70,83,77,84,67,70,78,75,0.0
73,21,181.0,69.9,"CM,CDM,CB",82,31000000.0,20000.0,Right,1,3,4,Medium/ Medium,Lean,49600000.0,78.0,LDM,1,81.0,75,52,64,87,64,86,82,64,82,88,80,78,84,83,78,68,76,74,69,57,78,85,45,69,73,70,1.0
75,35,181.0,82.1,"CB,CDM",82,6500000.0,39000.0,Right,1,3,2,High/ Medium,Normal,12400000.0,73.0,RCB,1,81.0,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,82,50,62,77,85,84,0.0
76,31,175.26,69.9,"CDM,CM",82,16500000.0,46000.0,Right,1,4,2,High/ Medium,Lean,31400000.0,74.0,RDM,1,81.0,61,53,70,82,57,77,54,57,78,76,80,81,72,80,80,60,43,93,68,59,82,77,77,83,86,80,0.0
77,22,170.18,73.0,CM,82,32500000.0,125000.0,Right,1,3,4,Medium/ Medium,Normal,73100000.0,86.0,SUB,0,,70,72,58,86,63,83,68,60,80,84,68,70,79,81,90,76,78,78,62,74,75,84,69,65,76,70,0.0
78,22,190.5,82.1,"CM,CDM",82,29000000.0,59000.0,Right,1,3,4,Medium/ Medium,Lean,61600000.0,84.0,RCM,1,85.0,63,64,75,84,59,77,65,54,80,82,70,66,69,80,72,70,69,82,75,76,81,83,46,71,79,74,0.0
79,34,182.88,74.8,"CDM,CM",82,9000000.0,59000.0,Right,2,4,3,High/ High,Lean,15300000.0,80.0,RDM,0,,70,70,75,80,76,75,67,55,83,79,68,69,67,82,71,87,77,88,77,86,80,78,45,78,80,82,1.0
80,30,181.0,76.2,"CF,ST,CAM",82,21500000.0,45000.0,Left,2,4,4,High/ Medium,Normal,36600000.0,77.0,ST,0,,81,83,63,84,80,82,80,69,80,85,69,67,74,85,76,81,65,71,72,79,41,84,91,57,38,34,0.0
81,28,182.88,79.8,"CDM,CM",82,18000000.0,125000.0,Right,2,3,3,Medium/ High,Normal,33300000.0,83.0,SUB,1,82.0,81,67,65,84,72,73,80,74,84,80,67,66,68,80,70,77,79,91,72,71,80,83,64,77,79,76,0.0
82,31,172.72,66.2,CAM,82,21000000.0,22000.0,Left,3,2,4,Medium/ Medium,Lean,45200000.0,64.0,CAM,0,,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,40,82,71,35,42,43,1.0
83,29,193.04,83.0,ST,82,22000000.0,120000.0,Right,3,4,4,High/ Medium,Normal,41800000.0,79.0,ST,1,77.0,78,78,74,78,79,84,79,72,74,85,79,83,69,78,66,84,67,78,84,75,44,77,77,43,48,39,0.0
84,32,162.56,60.8,"CF,ST",82,20000000.0,61000.0,Right,2,4,4,High/ Medium,Normal,34000000.0,83.0,SUB,1,74.0,72,78,34,80,75,86,90,93,76,86,88,80,94,83,91,80,34,77,42,81,26,78,73,23,29,28,3.0
85,29,185.42,77.1,CAM,82,22500000.0,125000.0,Right,3,4,3,High/ High,Normal,42800000.0,79.0,CAM,1,72.0,86,77,60,85,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,55,86,79,57,57,55,3.0
86,28,172.72,68.0,"CAM,RW",82,22500000.0,59000.0,Right,2,3,4,High/ Medium,Stocky,38300000.0,72.0,CAM,0,,77,77,59,82,65,82,67,71,80,84,85,77,85,81,85,78,61,82,74,76,42,80,79,49,43,38,0.0
88,31,187.96,78.0,"CDM,CB",82,16500000.0,57000.0,Left,3,3,3,Medium/ High,Lean,31400000.0,78.0,SUB,0,,63,48,72,79,54,68,42,60,76,73,63,62,65,83,62,78,76,85,81,73,83,69,58,82,81,84,0.0
89,28,178.5,72.1,"RB,RWB",82,18500000.0,99000.0,Right,2,4,3,High/ Medium,Normal,34200000.0,83.0,RB,1,82.0,91,48,73,79,54,75,87,83,78,81,76,75,74,80,74,75,73,88,65,70,79,80,66,77,82,79,1.0
90,28,182.88,76.2,"CM,CDM,CAM",82,23000000.0,130000.0,Right,3,3,3,High/ High,Lean,43700000.0,82.0,SUB,1,75.0,75,74,58,84,79,81,70,66,80,82,65,69,73,81,74,81,66,89,67,74,69,79,75,66,70,67,1.0
91,28,187.96,88.0,ST,82,23500000.0,68000.0,Right,4,4,4,Medium/ Low,Normal,44700000.0,78.0,RS,0,,68,83,67,78,78,81,78,78,66,85,75,80,71,68,50,89,74,66,86,79,30,74,92,10,22,20,1.0
92,30,175.26,68.9,RM,82,21000000.0,1000.0,Left,2,4,5,Medium/ Medium,Normal,44100000.0,76.0,RM,0,,76,79,53,81,68,87,82,72,73,88,85,82,92,77,84,77,68,78,62,78,51,82,80,45,49,42,2.0
93,31,172.72,64.0,"LM,CAM",82,21000000.0,1000.0,Right,2,3,4,Medium/ Medium,Lean,44100000.0,76.0,LM,0,,73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,79,62,83,49,79,72,38,53,40,3.0
94,29,181.0,74.8,"CM,LW",82,22000000.0,115000.0,Right,3,3,4,High/ Medium,Lean,37400000.0,80.0,SUB,0,,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,72,82,68,74,72,68,0.0
95,26,187.96,79.8,"CM,CDM",81,22000000.0,43000.0,Left,2,2,4,High/ Medium,Lean,47900000.0,80.0,LCM,0,,65,69,75,81,62,78,62,56,79,83,69,76,76,83,67,86,81,78,91,80,79,79,45,78,82,82,1.0
96,26,175.26,79.8,"LB,LWB,LM",81,18000000.0,50000.0,Left,2,3,3,High/ Medium,Stocky,32000000.0,77.0,LB,0,,81,64,71,77,57,79,75,56,70,79,87,85,77,76,78,75,73,84,77,65,77,71,51,75,84,79,0.0
97,27,185.42,83.9,ST,81,21000000.0,48000.0,Left,2,3,4,High/ High,Normal,,77.0,RS,0,,52,80,79,71,81,77,71,56,45,79,77,79,76,78,69,85,89,76,88,72,40,66,79,54,42,50,1.0
98,27,181.0,76.2,RB,81,15000000.0,57000.0,Right,2,3,3,High/ Medium,Lean,,82.0,SUB,0,,82,44,73,77,53,74,70,57,70,79,78,79,67,79,72,75,85,87,73,58,80,68,52,79,81,77,0.0
99,28,190.5,76.2,"CDM,CM",81,17000000.0,35000.0,Right,2,3,3,High/ High,Lean,30200000.0,79.0,SUB,0,,61,46,58,80,58,71,54,51,72,81,52,52,66,85,54,54,51,93,69,42,81,73,47,80,80,76,1.0
100,24,185.42,84.8,LB,81,20000000.0,105000.0,Left,2,3,3,High/ Low,Normal,38500000.0,85.0,SUB,0,,87,33,65,80,31,80,80,34,69,79,77,86,68,80,70,79,71,81,81,65,79,76,50,78,79,81,1.0
101,24,178.5,77.1,"CAM,CM",81,22500000.0,54000.0,Right,2,4,3,High/ High,Normal,39900000.0,79.0,RAM,1,77.0,70,79,56,79,78,79,74,63,67,81,83,77,75,85,79,86,75,84,76,81,55,79,65,58,55,51,0.0
102,25,187.96,83.0,CB,81,18500000.0,36000.0,Left,2,2,2,Low/ High,Normal,32800000.0,78.0,LCB,0,,46,30,77,73,32,43,72,68,69,65,65,77,65,80,59,44,81,62,78,22,78,55,52,83,83,87,0.0
103,25,181.0,78.9,"ST,LW",81,22000000.0,40000.0,Right,2,3,4,High/ Medium,Stocky,39100000.0,79.0,LW,0,,78,82,73,76,81,78,78,74,68,79,78,77,79,81,78,83,75,82,77,81,39,78,65,29,40,30,0.0
104,25,187.96,83.0,"CB,CDM",81,18500000.0,30000.0,Right,2,3,2,Medium/ Medium,Normal,32800000.0,79.0,RCB,1,85.0,68,55,85,77,53,62,44,42,71,72,55,69,55,79,49,74,65,74,82,46,80,69,67,83,84,77,0.0
105,26,181.0,77.1,ST,81,22000000.0,45000.0,Left,1,4,4,High/ Medium,Lean,47900000.0,79.0,SUB,0,,61,78,80,75,79,78,69,56,56,80,76,79,70,81,69,80,73,77,74,77,40,58,75,43,41,41,0.0
106,26,182.88,76.2,"CDM,CM",81,19500000.0,60000.0,Right,2,3,3,High/ Medium,Lean,38500000.0,77.0,RDM,0,,68,73,66,82,68,78,41,42,74,80,63,70,60,77,69,84,72,93,81,75,82,77,54,79,83,75,0.0
107,25,170.18,71.2,"LM,LB,CM",81,22500000.0,54000.0,Left,3,2,4,Medium/ Medium,Normal,39900000.0,81.0,LM,0,,85,75,52,84,79,83,84,82,77,84,82,68,88,83,86,79,63,74,49,82,84,79,44,67,70,77,1.0
108,25,175.26,69.9,"RB,RM",81,18500000.0,64000.0,Right,3,4,3,High/ High,Lean,36500000.0,78.0,RB,0,,81,62,64,80,56,83,78,45,78,79,88,87,82,81,77,68,74,84,60,62,81,76,60,76,83,76,0.0
109,24,182.88,67.1,"RM,LM,CM",81,23000000.0,86000.0,Left,2,2,4,Medium/ High,Lean,40800000.0,80.0,SUB,0,,80,76,43,80,58,84,78,75,76,82,85,86,83,82,78,78,63,55,50,72,50,80,59,45,43,25,0.0
110,22,185.42,83.9,"LM,RM,CAM",81,25000000.0,63000.0,Right,2,4,4,Medium/ Medium,Lean,47500000.0,80.0,LCM,1,85.0,77,77,42,81,66,87,72,59,68,85,78,84,82,80,78,80,63,73,69,78,29,82,54,38,20,24,1.0
111,23,182.88,73.0,"RM,RW,ST",80,22000000.0,35000.0,Left,1,3,4,High/ Medium,Lean,46200000.0,75.0,RM,0,,69,80,57,72,68,85,79,65,63,81,90,91,90,79,79,80,68,78,61,73,25,80,85,28,27,25,2.0
112,21,178.5,78.0,"LW,RW",80,20500000.0,18000.0,Right,1,2,4,Medium/ Medium,Stocky,32800000.0,76.0,LW,1,81.0,73,74,55,76,67,87,76,66,53,84,88,89,79,71,89,78,71,78,79,74,30,75,59,47,31,26,1.0
114,27,187.96,84.8,CB,80,15500000.0,80000.0,Right,1,3,2,Medium/ Medium,Normal,30600000.0,79.0,SUB,0,,33,31,82,71,24,47,30,34,56,56,56,65,42,77,42,71,73,76,84,34,80,45,48,82,82,76,0.0
115,23,185.42,78.9,ST,80,21000000.0,89000.0,Right,2,3,4,Medium/ Medium,Normal,,80.0,LS,1,82.0,59,83,77,69,79,77,69,33,58,80,77,78,77,81,72,76,84,77,74,60,55,68,80,28,40,35,0.0
